county_fips,county_name,year,child_pop,child_poverty_rate,pct_black,pct_native_american,pct_hispanic,housing_burden_rate
06079,San Luis Obispo,2011,50655,8.38,2.33,3.45,21.63,55.81
06029,Kern,2011,252072,20.56,5.93,4.19,50.81,51.43
06111,Ventura,2011,212140,9.13,1.79,6.99,40.25,53.51
06009,Calaveras,2011,9038,3.93,1.1,1.34,10.42,43.24
06081,San Mateo,2011,158182,5.71,2.92,24.9,25.17,46.4
06109,Tuolumne,2011,9922,11.15,2.27,1.17,11.37,55.97
06005,Amador,2011,6473,8.6,2.58,1.57,13.89,48.6
06047,Merced,2012,80508,23.56,3.88,7.64,55.93,51.61
06043,Mariposa,2012,3202,15.55,0.78,1.51,9.5,38.4
06115,Yuba,2012,20902,20.39,2.83,7.22,25.72,50.11
06013,Contra Costa,2012,259693,8.97,9.23,14.61,24.47,53.04
06035,Lassen,2012,5723,11.6,12.11,1.86,25.24,52.23
06099,Stanislaus,2012,147089,17.62,2.85,5.23,42.45,55.35
06097,Sonoma,2012,106075,10.2,1.63,4.15,25.15,53.3
06103,Tehama,2012,16034,21.09,0.6,1.13,22.28,48.34
06051,Mono,2012,3013,7.17,0.58,0.79,26.65,49.68
06069,San Benito,2012,16012,10.99,1.5,2.35,56.73,54.96
06067,Sacramento,2012,362464,15.77,10.3,14.74,21.91,54.46
06017,El Dorado,2012,40805,6.08,0.76,3.45,12.08,51.11
06053,Monterey,2012,111291,16.75,3.16,6.58,57.86,52.02
06091,Sierra,2012,529,8.13,1.15,0.13,8.97,46.88
06007,Butte,2012,46039,16.48,1.49,4.31,14.56,56.1
06063,Plumas,2012,3627,12.71,1.29,1.19,8.17,42.68
06079,San Luis Obispo,2012,50680,9.58,2.29,3.6,22.06,54.68
06029,Kern,2012,253669,21.9,5.8,4.28,51.33,52.72
06111,Ventura,2012,211012,9.87,1.82,7.06,40.83,54.99
06009,Calaveras,2012,8765,6.67,1.06,1.43,10.59,47.84
06081,San Mateo,2012,159384,6.35,2.84,25.24,25.42,47.74
06109,Tuolumne,2012,9613,10.27,2.21,1.19,11.59,56.46
06005,Amador,2012,6327,9.12,2.96,1.46,14.06,50.8
06059,Orange,2012,736684,10.3,1.64,18.32,34.0,54.33
06101,Sutter,2012,25917,17.02,1.78,14.17,29.02,49.68
06077,San Joaquin,2012,200868,16.29,7.51,14.65,39.69,55.23
06073,San Diego,2012,723484,11.83,5.19,11.36,32.85,54.85
06107,Tulare,2012,143399,23.3,1.65,3.38,61.47,50.37
06113,Yolo,2012,45294,10.85,2.62,13.4,31.56,57.58
06023,Humboldt,2012,26894,17.09,1.26,2.46,10.14,57.32
06057,Nevada,2012,18886,10.14,0.4,1.42,8.6,58.06
06003,Alpine,2012,270,1.11,0.0,2.76,6.72,44.59
06039,Madera,2012,42818,22.53,3.71,2.13,57.16,47.87
06045,Mendocino,2012,19366,18.64,0.93,1.84,22.53,54.94
06087,Santa Cruz,2012,55109,11.19,1.07,4.3,32.99,56.19
06105,Trinity,2012,2652,16.67,0.89,1.25,7.13,50.13
06037,Los Angeles,2012,2402354,15.86,8.67,14.05,48.48,55.86
06065,Riverside,2012,618744,14.32,6.41,6.07,46.26,57.88
06071,San Bernardino,2012,593753,16.06,8.93,6.52,50.4,56.79
06085,Santa Clara,2012,429068,7.75,2.64,32.77,27.14,44.8
06041,Marin,2012,52097,5.18,2.98,5.89,15.78,53.03
06061,Placer,2012,84976,6.84,1.23,6.24,12.92,52.3
06093,Siskiyou,2012,9195,20.61,1.26,1.36,10.56,53.01
06089,Shasta,2012,39757,16.11,0.93,2.7,8.58,55.83
06095,Solano,2012,101147,11.58,14.82,15.42,25.06,53.14
06015,Del Norte,2012,6061,20.95,4.34,3.47,20.5,54.2
06021,Glenn,2012,7824,17.77,0.86,2.47,38.16,45.18
06033,Lake,2012,13628,19.89,2.36,1.13,17.47,61.58
06049,Modoc,2012,2109,16.97,1.41,0.39,14.58,47.05
06027,Inyo,2012,3920,10.23,0.92,1.5,19.93,46.69
06083,Santa Barbara,2012,97452,13.08,2.07,5.11,44.45,54.24
06025,Imperial,2012,50535,20.87,3.46,1.64,85.47,51.14
